x_exp_minus_t,concentration_pct
0.086293586,17.3
0.078081666,17.6
0.070651213,17.9
0.063927861,18.3
0.057844321,18.5
0.052339706,18.9
0.047358924,19
0.042852127,19.3
0.038774208,19.8
0.035084354,19.9
0.031745636,20.2
0.02872464,20.5
0.025991129,20.6
0.023517746,21.1
0.021279736,21.5
0.019254702,21.9
0.017422375,22
0.015764416,22.3
0.014264234,22.6
0.012906813,22.8
0.011678567,23
0.010567204,23.2
0.0095616019,23.4
0.0086516952,23.7
0.0078283775,24
0.0070834089,24.2
0.0064093334,24.5
0.0057994047,25
0.0052475184,25.4
0.004748151,25.5
0.0042963047,25.9
0.0038874572,25.9
0.0035175168,26.3
0.0031827808,26.2
0.0028798992,26.5
0.0026058405,26.5
0.002357862,26.6
0.0021334818,27
0.0019304541,27
0.0017467471,27
0.0015805222,27
0.0014301156,27.3
0.0012940221,27.8
0.0011708796,28.1
0.0010594557,28.1
0.00095863515,28.1
0.00086740896,28.4
0.00078486408,28.6
0.00071017439,29
0.00064259236,29.2
0.00058144161,29.3
0.00052611013,29.4
0.00047604413,29.4
0.00043074254,29.4
