shear_rate_1_s,shear_stress_Pa
1,9.03395
1.16606,9.18442
1.35969,9.63578
1.58547,9.73072
1.84875,9.79978
2.15575,10.3448
2.51372,10.9346
2.93114,11.1357
3.41787,10.9146
3.98543,11.0535
4.64724,11.6267
5.41894,12.2417
6.31879,11.7451
7.36806,12.9614
8.59158,12.9872
10.0183,13.6539
11.6819,14.2196
13.6217,14.8358
15.8837,15.7209
18.5212,16.6147
21.5968,16.6601
25.1831,18.0844
29.3649,17.6954
34.2411,18.9749
39.9271,20.0675
46.5572,20.3984
54.2884,20.7159
63.3033,21.4722
73.8152,22.7103
86.0726,24.181
100.366,24.3137
117.032,26.0177
136.466,27.2214
159.127,29.0507
185.551,30.0823
216.363,31.5981
252.291,32.074
294.185,34.1136
343.037,36.7058
400,39.2504
